"source","target","weight"
"AFB","Austria",1
"Afghan Guerrillas","Afghanistan",6
"Afghan Guerrillas","International",1
"Afghan Guerrillas","Pakistan",1
"Afghan Merceneries","India",1
"Afghan Mujahideen","Afghanistan",7
"Afghan Rebels","Afghanistan",1
"Afghan Rebels","Soviet Union",2
"Afghan Revolutionary Front","France",1
"Afghan War Veterans","Russia",1
"Afghans","Pakistan",3
"Afghans","Soviet Union",1
"Africa Marine Commando","Cameroon",3
"Africa Marine Commando","China",1
"Africa Marine Commando","Nigeria",1
"African National Congress (South Africa)","Great Britain",1
"African National Congress (South Africa)","Ireland",1
"African National Congress (South Africa)","Multinational",2
"African National Congress (South Africa)","Namibia",1
"African National Congress (South Africa)","South Africa",592
"African National Congress (South Africa)","Swaziland",2
"African National Congress (South Africa)","United States",4
"African National Congress (South Africa)","Zambia",1
"African-American extremists","United States",1
"Afridi Tribe","Pakistan",1
"Afrikaner Resistance Movement (AWB)","South Africa",5
"Afrikaner Resistance Movement (AWB)","United States",1
"AGEL","Spain",1
"Aghwar ""Fire War"" Group","Libya",1
"Agudat Israel Party","Israel",1
"Agwelek Forces","South Sudan",1
"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis","Israel",2
"Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)","Pakistan",2
"Ahlu-sunah Wal-jamea (Somalia)","Somalia",11
"Ahlu-sunah Wal-jamea (Somalia)","United States",1
"Ahmad Alawi al Muqbili","Saudi Arabia",1
"Ahmad Jibril","West Bank and Gaza Strip",1
"Ahmad Luebaesa Group","Thailand",1
"Ahrar Al-Jalil (Free People of the Galilee)","Israel",4
"Ahrar al-Sham","Syria",24
"Aibed Er-Rahman katibet","Algeria",1
"Aidid Militia","United States",1
"Air and Azawak Liberation Front","Niger",3
"Airport Protesters","Japan",2
"Aisha Umm-al Mouemeneen (Brigades of Aisha)","Lebanon",1
"Aitarak Militia","Indonesia",2
"Ajnad al-Sham","Syria",1
"Ajnad Misr","Egypt",32
"Akali Dal Party","India",2
"Akhil Terai Mukti Morcha (ATMM)","Nepal",14
"Akhilesh Singh Gang","India",1
"Al Bayda Province of the Islamic State","Yemen",1
"Al Zawahiri Loyalists","Italy",1
"Al-Adl Wal Ihsane","Algeria",1
"Al-Adl Wal Ihsane","Morocco",4
"Al-Ahwaz Arab People's Democratic Front","Iran",3
"Al-Aqsa Martyrs Brigade","Afghanistan",3
"Al-Aqsa Martyrs Brigade","Bulgaria",1
"Al-Aqsa Martyrs Brigade","Egypt",1
"Al-Aqsa Martyrs Brigade","France",1
"Al-Aqsa Martyrs Brigade","Iraq",1
"Al-Aqsa Martyrs Brigade","Israel",147
"Al-Aqsa Martyrs Brigade","Multinational",2
"Al-Aqsa Martyrs Brigade","United States",1
"Al-Aqsa Martyrs Brigade","West Bank and Gaza Strip",13
"Al-Aqsa-Group","United States",1
"Al-Arifeen","India",4
"Al-Ashtar Brigades","Bahrain",10
"Al-Badr","India",2
"Al-Bakazim","Tajikistan",1
"Al-Borkan Liberation Organization","Libya",2
"Al-Da'wah Party","Iraq",1
"Al-Fajr","India",1
"Al-Faran","India",1
"Al-Faran","United States",1
"Al-Faruo Battalion","Lebanon",2
"Al-Faruo Battalion","Syria",2
"Al-Faruq Militia","Libya",1
"Al-Fatah","Afghanistan",1
"Al-Fatah","France",1
"Al-Fatah","Great Britain",1
"Al-Fatah","Israel",24
"Al-Fatah","Jordan",1
"Al-Fatah","Lebanon",3
"Al-Fatah","West Bank and Gaza Strip",25
"Al-Fateh Al-Jadid","Libya",1
"Al-Fatihin Army (AFA)","Iraq",1
"Al-Furqan Brigades","Egypt",1
"Al-Furqan Brigades","Panama",1
"Al-Furqan Brigades","Syria",1
"Al-Gama'at al-Islamiyya (IG)","Croatia",1
"Al-Gama'at al-Islamiyya (IG)","Ecuador",1
"Al-Gama'at al-Islamiyya (IG)","Egypt",249
"Al-Gama'at al-Islamiyya (IG)","Germany",1
"Al-Gama'at al-Islamiyya (IG)","Great Britain",1
"Al-Gama'at al-Islamiyya (IG)","Greece",1
"Al-Gama'at al-Islamiyya (IG)","International",1
"Al-Gama'at al-Islamiyya (IG)","Multinational",1
"Al-Gama'at al-Islamiyya (IG)","South Africa",1
"Al-Gama'at al-Islamiyya (IG)","Spain",1
"Al-Gama'at al-Islamiyya (IG)","United States",1
"Al-Hadid","Great Britain",1
"Al-Hadid","United States",1
"Al-Hamas Mujahideen","India",1
"Al-Haramayn Brigades","Saudi Arabia",3
"Al-Haydariyah Battalion","Bahrain",1
"Al-Herak Al-Tihami Movement","Yemen",1
"Al-Intiqami al-Pakistani","Pakistan",2
"Al-Islah Party","Yemen",4
"Al-Ittihaad al-Islami (AIAI)","Ethiopia",1
"Al-Ittihaad al-Islami (AIAI)","Germany",1
"Al-Ittihaad al-Islami (AIAI)","Multinational",1
"Al-Ittihaad al-Islami (AIAI)","Somalia",2
"Al-Jehad","India",2
"Al-Jehad","United States",1
"Al-Jihad","Egypt",10
"Al-Jihad (Pakistan)","Pakistan",1
"Al-Jub Tribe","Yemen",1
"Al-Khobar","Philippines",10
"Al-Ma'unah","Malaysia",2
"Al-Madani Brigade","Libya",1
"Al-Madina","India",4
"Al-Mansoorian","India",16
"Al-Mansoorian","Pakistan",1
"Al-Marabitun Revolutionary Committee","Lebanon",1
"Al-Masni Tribe","Poland",1
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","Algeria",1
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","Burkina Faso",1
